 "topic_name" , "topic_uri" ,
 "miroirs" , "https://dbpedia.org/resource/Miroirs" ,
 "string literal" , "https://dbpedia.org/resource/String_literal" ,
 "RDFS" , "https://dbpedia.org/resource/RDF_Schema" ,
 "YAGO" , "http://dbpedia.org/resource/YAGO_(database)" ,
 "The Glass Palace" , "https://dbpedia.org/resource/The_Glass_Palace" ,
 "Semantic Networks" , "https://dbpedia.org/resource/Semantic_network" ,
 "Neo4J" , "https://dbpedia.org/resource/Neo4j" ,
 "Wikidata" , "https://dbpedia.org/resource/Wikidata" ,
 "Rumelhart" , "https://dbpedia.org/resource/David_Rumelhart" ,
 "World Wide Web Consortium (W3C)" , "https://dbpedia.org/resource/World_Wide_Web_Consortium" ,
 "Google Assistant" , "https://dbpedia.org/resource/Google_Assistant" ,
 "Machine learning" , "https://dbpedia.org/resource/Machine_learning" ,
 "World Wide Web Consortium" , "https://dbpedia.org/resource/World_Wide_Web_Consortium" ,
 "skolemization" , "https://dbpedia.org/resource/Skolem_normal_form" ,
 "Lï¿½onard de Vinci" , "https://dbpedia.org/resource/Leonardo_da_Vinci" ,
 "SHRDLU" , "https://dbpedia.org/resource/SHRDLU" ,
 "SPARQL" , "https://dbpedia.org/resource/SPARQL" ,
 "JSON-LD" , "https://dbpedia.org/resource/JSON-LD" ,
 "Knowledge Graph" , "https://dbpedia.org/resource/Knowledge_Graph" ,
 "FOAF" , "http://dbpedia.org/resource/FOAF_(ontology)" ,
 "AI Winter" , "https://dbpedia.org/resource/AI_winter" ,
 "N-Triples" , "https://dbpedia.org/resource/N-Triples" ,
 "DBPedia" , "https://dbpedia.org/resource/DBpedia" ,
 "TBox" , "https://dbpedia.org/resource/Tbox" ,
 "Harper Collins" , "https://dbpedia.org/resource/HarperCollins" ,
 "Diffbot" , "https://dbpedia.org/resource/Diffbot" ,
 "Peter Norvig" , "https://dbpedia.org/resource/Peter_Norvig" ,
 "Prentice Hall" , "https://dbpedia.org/resource/Prentice_Hall" ,
 "le titre" , "https://dbpedia.org/resource/Le_Titre" ,
 "DeepDive" , "https://dbpedia.org/resource/Transformers" ,
 "Alfred Lennon" , "https://dbpedia.org/resource/Alfred_Lennon" ,
 "WordNet" , "https://dbpedia.org/resource/WordNet" ,
 "RDF/XML" , "https://dbpedia.org/resource/XML" ,
 "Oracle Spatial" , "https://dbpedia.org/resource/Oracle_Spatial_and_Graph" ,
 "Description Logic" , "https://dbpedia.org/resource/Description_logic" ,
 "DBpedia" , "https://dbpedia.org/resource/DBpedia" ,
 "GeoNames" , "https://dbpedia.org/resource/GeoNames" ,
 "Cyc" , "https://dbpedia.org/resource/Cyc" ,
 "Knowledge Navigator" , "https://dbpedia.org/resource/Knowledge_Navigator" ,
 "ConceptNet" , "https://dbpedia.org/resource/Open_Mind_Common_Sense" ,
 "Knowledge Vault" , "https://dbpedia.org/resource/Knowledge_Graph" ,
 "knowledge representation" , "https://dbpedia.org/resource/Knowledge_representation_and_reasoning" ,
 "Resource Description Framework (RDF)" , "https://dbpedia.org/resource/Resource_Description_Framework" ,
 "LinkedIn" , "https://dbpedia.org/resource/LinkedIn" ,
 "rdfs" , "https://dbpedia.org/resource/RDF_Schema" ,
 "RDFa" , "https://dbpedia.org/resource/RDFa" ,
 "Semantic Web" , "https://dbpedia.org/resource/Semantic_Web" ,
 "public knowledge" , "https://dbpedia.org/resource/Public_Knowledge" ,
 "Resource Description Framework" , "https://dbpedia.org/resource/Resource_Description_Framework" ,
 "DBpedia" , "https://dbpedia.org/resource/DBpedia" ,
 "LinkedIn" , "https://dbpedia.org/resource/LinkedIn" ,
 "HTTP 303" , "https://dbpedia.org/resource/HTTP_303" ,
